Fecha,Planta 3M5 - Analizada x Vía Húmeda - Metalización [%],Planta 3M5 - Analizada x Vía Húmeda - Fierro Total [%],Planta 3M5 - Analizada x Leco - Metalización [%],Planta 3M5 - Analizada x Leco - Carbón [%],Planta 3M5 - Analizada x Leco - Azufre [%],Planta 3M5 - Analizada x Leco - Oxígeno [%],"Planta 3M5 - Granulometría - +1/8"" [%]","Planta 3M5 - Granulometría - - 1/8"" [%]","Planta 3M5 - Granulometría - Finos - 1/4"" [%]",Planta 4M - Analizada x Vía Húmeda - Metalización [%],Planta 4M - Analizada x Vía Húmeda - Fierro Total [%],Planta 4M - Analizada x Leco - Metalización [%],Planta 4M - Analizada x Leco - Carbón [%],Planta 4M - Analizada x Leco - Azufre [%],Planta 4M - Analizada x Leco - Oxígeno [%],"Planta 4M - Granulometría - +1/8"" [%]","Planta 4M - Granulometría - -1/8"" [%]","Planta 4M - Granulometría - Finos - 1/4"" [%]"
27/02/2024 22:00:00,,,,,,,,,,,,94.755,4.0369,0.0127,0.9903,,,
27/02/2024 20:00:00,,,,,,,,,,96.328,85.238,95.693,3.7321,0.0091,0.7826,6.706,1.555,8.261
27/02/2024 18:00:00,,,,,,,,,,,,96.023,3.9459,0.0112,0.7095,7.93,3.09,11.02
27/02/2024 16:00:00,,,,,,,,,,95.014,85.13,94.973,3.9719,0.0148,0.942,4.57,4.417,8.987
27/02/2024 14:00:00,,,,,,,,,,,,94.799,4.234,0.0145,0.9806,11.393,3.125,14.518
27/02/2024 12:00:00,94.314,84.732,94.549,3.4844,0.0101,1.036,6.845,0.535,7.38,94.696,85.543,94.634,4.0782,0.0156,1.017,8.659,8.171,16.83
27/02/2024 10:00:00,,,93.727,3.7036,0.0089,1.218,5.991,0.553,6.544,,,95.109,3.8486,0.0156,0.9119,11.848,7.5,19.348
27/02/2024 08:00:00,94.973,84.937,95.143,3.8121,0.0109,0.9044,2.446,0.349,2.795,95.86,85.355,95.34,4.0603,0.0166,0.8606,9.323,13.602,22.925
27/02/2024 06:00:00,,,93.849,3.7165,0.0073,1.191,1.634,2.043,3.677,,,94.929,3.6015,0.0104,0.9517,1.373,1.545,2.918
27/02/2024 04:00:00,93.848,84.684,94.174,3.7314,0.0097,1.119,6.028,1.184,7.212,93.548,85.355,93.407,3.5724,0.0091,1.289,6.372,8.222,14.594
27/02/2024 02:00:00,,,94.043,3.6849,0.0067,1.148,7.103,0.888,7.991,,,95.175,3.7495,0.0103,0.8972,1.393,0.498,1.891
27/02/2024 00:00:00,93.705,84.78,93.429,3.6766,0.0073,1.284,7.85,1.122,8.972,94.961,85.829,95.093,3.6633,0.012,0.9155,6.795,2.388,9.183
26/02/2024 22:00:00,,,94.675,3.7213,0.0111,1.008,6.396,1.556,7.952,,,95.172,3.8351,0.0163,0.898,7.571,9.884,17.455
26/02/2024 20:00:00,93.79,85.155,94.49,3.6895,0.0063,1.049,6.781,1.337,8.118,96.186,85.905,95.614,3.8138,0.0129,0.8,8.719,6.903,15.622
26/02/2024 18:00:00,,,94.968,3.7479,0.0096,0.943,10.13,3.377,13.507,,,95.418,3.7664,0.0135,0.8435,7.57,5.817,13.387
26/02/2024 16:00:00,94.481,85.284,94.805,3.6752,0.0114,0.9793,8.411,3.011,11.422,96.051,86.018,95.347,3.8256,0.0144,0.8591,8.088,6.66,14.748
26/02/2024 14:00:00,,,94.156,3.88,0.0134,1.123,9.596,0.884,10.48,,,95.805,3.56,0.0172,0.7576,7.336,3.499,10.835
26/02/2024 12:00:00,94.953,85.075,94.58,4.1706,0.0121,1.029,6.813,6.813,13.626,95.718,85.956,95.221,3.8954,0.0144,0.887,3.178,1.249,4.427
